    PID    PPID CMD                         %MEM %CPU
  45952       2 [kworker/6:3-cgroup_destroy  0.0  0.0
  46008       2 [kworker/2:2-cgroup_destroy  0.0  0.0
  46083       2 [kworker/0:1-cgroup_destroy  0.0  0.0
  46845       2 [kworker/4:0-events]         0.0  0.0
  47129       2 [kworker/5:2-events]         0.0  0.0
  47304       2 [kworker/4:1]                0.0  0.0
  47346       2 [kworker/0:0-events]         0.0  0.0
  47585       2 [kworker/u16:0-ext4-rsv-con  0.0  0.0
  47980       2 [kworker/1:1-mm_percpu_wq]   0.0  0.0
  48045       2 [kworker/7:0]                0.0  0.0
  48138       2 [kworker/2:0-events]         0.0  0.0
  48226       2 [kworker/7:2-mm_percpu_wq]   0.0  0.0
  48316       2 [kworker/u16:1-ext4-rsv-con  0.0  0.0
  48399       2 [kworker/6:0-mm_percpu_wq]   0.0  0.0
  48457       2 [kworker/u16:3-events_unbou  0.0  0.0
  48458       2 [kworker/u16:4-ext4-rsv-con  0.0  0.0
  49599       2 [kworker/u16:2]              0.0  0.0
